"gameId","season","week","homeTeamAbbr","visitorTeamAbbr","homeFinalScore","visitorFinalScore","gameDatetime"
2022091901,2022,2,"PHI","MIN",24,7,2022-09-19 16:30:00
2022092200,2022,3,"CLE","PIT",29,17,2022-09-22 16:15:00
2022092500,2022,3,"CAR","NO",22,14,2022-09-25 09:00:00
2022092501,2022,3,"CHI","HOU",23,20,2022-09-25 09:00:00
2022092502,2022,3,"IND","KC",20,17,2022-09-25 09:00:00
2022092503,2022,3,"MIA","BUF",21,19,2022-09-25 09:00:00
2022092504,2022,3,"MIN","DET",28,24,2022-09-25 09:00:00
2022092505,2022,3,"NE","BAL",26,37,2022-09-25 09:00:00
2022092506,2022,3,"NYJ","CIN",12,27,2022-09-25 09:00:00
2022092507,2022,3,"TEN","LV",24,22,2022-09-25 09:00:00
2022092508,2022,3,"WAS","PHI",8,24,2022-09-25 09:00:00
2022092509,2022,3,"LAC","JAX",10,38,2022-09-25 12:05:00
2022092510,2022,3,"ARI","LA",12,20,2022-09-25 12:25:00
2022092511,2022,3,"SEA","ATL",23,27,2022-09-25 12:25:00
2022092512,2022,3,"TB","GB",12,14,2022-09-25 12:25:00
2022092513,2022,3,"DEN","SF",11,10,2022-09-25 16:20:00
2022092600,2022,3,"NYG","DAL",16,23,2022-09-26 16:15:00
2022092900,2022,4,"CIN","MIA",27,15,2022-09-29 16:15:00
2022100200,2022,4,"NO","MIN",25,28,2022-10-02 05:30:00
2022100201,2022,4,"ATL","CLE",23,20,2022-10-02 09:00:00
2022100202,2022,4,"BAL","BUF",20,23,2022-10-02 09:00:00
2022100204,2022,4,"DAL","WAS",25,10,2022-10-02 09:00:00
2022100205,2022,4,"DET","SEA",45,48,2022-10-02 09:00:00
2022100206,2022,4,"HOU","LAC",24,34,2022-10-02 09:00:00
2022100207,2022,4,"IND","TEN",17,24,2022-10-02 09:00:00
2022100208,2022,4,"NYG","CHI",20,12,2022-10-02 09:00:00
2022100209,2022,4,"PHI","JAX",29,21,2022-10-02 09:00:00
2022100210,2022,4,"PIT","NYJ",20,24,2022-10-02 09:00:00
2022100203,2022,4,"CAR","ARI",16,26,2022-10-02 12:05:00
2022100211,2022,4,"GB","NE",27,24,2022-10-02 12:25:00
2022100212,2022,4,"LV","DEN",32,23,2022-10-02 12:25:00
2022100213,2022,4,"TB","KC",31,41,2022-10-02 16:20:00
2022100300,2022,4,"SF","LA",24,9,2022-10-03 16:15:00
2022100600,2022,5,"DEN","IND",9,12,2022-10-06 16:15:00
2022100900,2022,5,"GB","NYG",22,27,2022-10-09 05:30:00
2022100901,2022,5,"BUF","PIT",38,3,2022-10-09 09:00:00
2022100902,2022,5,"CLE","LAC",28,30,2022-10-09 09:00:00
2022100903,2022,5,"JAX","HOU",6,13,2022-10-09 09:00:00
2022100904,2022,5,"MIN","CHI",29,22,2022-10-09 09:00:00
2022100905,2022,5,"NE","DET",29,0,2022-10-09 09:00:00
2022100906,2022,5,"NO","SEA",39,32,2022-10-09 09:00:00
2022100907,2022,5,"NYJ","MIA",40,17,2022-10-09 09:00:00
2022100908,2022,5,"TB","ATL",21,15,2022-10-09 09:00:00
2022100909,2022,5,"WAS","TEN",17,21,2022-10-09 09:00:00
2022100910,2022,5,"CAR","SF",15,37,2022-10-09 12:05:00
2022100911,2022,5,"ARI","PHI",17,20,2022-10-09 12:25:00
2022100912,2022,5,"LA","DAL",10,22,2022-10-09 12:25:00
2022100913,2022,5,"BAL","CIN",19,17,2022-10-09 16:20:00
2022101000,2022,5,"KC","LV",30,29,2022-10-10 16:15:00
2022101300,2022,6,"CHI","WAS",7,12,2022-10-13 16:15:00
2022101600,2022,6,"ATL","SF",28,14,2022-10-16 09:00:00
2022101601,2022,6,"CLE","NE",15,38,2022-10-16 09:00:00
2022101602,2022,6,"GB","NYJ",10,27,2022-10-16 09:00:00
2022101603,2022,6,"IND","JAX",34,27,2022-10-16 09:00:00
2022101604,2022,6,"MIA","MIN",16,24,2022-10-16 09:00:00
2022101605,2022,6,"NO","CIN",26,30,2022-10-16 09:00:00
2022101606,2022,6,"NYG","BAL",24,20,2022-10-16 09:00:00
2022101607,2022,6,"PIT","TB",20,18,2022-10-16 09:00:00
2022101608,2022,6,"LA","CAR",24,10,2022-10-16 12:05:00
2022101609,2022,6,"SEA","ARI",19,9,2022-10-16 12:05:00
2022101610,2022,6,"KC","BUF",20,24,2022-10-16 12:25:00
2022101611,2022,6,"PHI","DAL",26,17,2022-10-16 16:20:00
2022101700,2022,6,"LAC","DEN",19,16,2022-10-17 16:15:00
2022102000,2022,7,"ARI","NO",42,34,2022-10-20 16:15:00
2022102300,2022,7,"BAL","CLE",23,20,2022-10-23 09:00:00
2022102301,2022,7,"CAR","TB",21,3,2022-10-23 09:00:00
2022102302,2022,7,"CIN","ATL",35,17,2022-10-23 09:00:00
2022102303,2022,7,"DAL","DET",24,6,2022-10-23 09:00:00
2022102304,2022,7,"JAX","NYG",17,23,2022-10-23 09:00:00
2022102305,2022,7,"TEN","IND",19,10,2022-10-23 09:00:00
2022102306,2022,7,"WAS","GB",23,21,2022-10-23 09:00:00
2022102307,2022,7,"DEN","NYJ",9,16,2022-10-23 12:05:00
2022102308,2022,7,"LV","HOU",38,20,2022-10-23 12:05:00
2022102309,2022,7,"LAC","SEA",23,37,2022-10-23 12:25:00
2022102310,2022,7,"SF","KC",23,44,2022-10-23 12:25:00
2022102311,2022,7,"MIA","PIT",16,10,2022-10-23 16:20:00
2022102400,2022,7,"NE","CHI",14,33,2022-10-24 16:15:00
2022102700,2022,8,"TB","BAL",22,27,2022-10-27 16:15:00
2022103000,2022,8,"JAX","DEN",17,21,2022-10-30 05:30:00
2022103001,2022,8,"ATL","CAR",37,34,2022-10-30 09:00:00
2022103002,2022,8,"DAL","CHI",49,29,2022-10-30 09:00:00
2022103003,2022,8,"DET","MIA",27,31,2022-10-30 09:00:00
2022103005,2022,8,"MIN","ARI",34,26,2022-10-30 09:00:00
2022103006,2022,8,"NO","LV",24,0,2022-10-30 09:00:00
2022103007,2022,8,"NYJ","NE",17,22,2022-10-30 09:00:00
2022103008,2022,8,"PHI","PIT",35,13,2022-10-30 09:00:00
2022103004,2022,8,"HOU","TEN",10,17,2022-10-30 12:05:00
2022103009,2022,8,"IND","WAS",16,17,2022-10-30 12:25:00
2022103010,2022,8,"LA","SF",14,31,2022-10-30 12:25:00
2022103011,2022,8,"SEA","NYG",27,13,2022-10-30 12:25:00
2022103012,2022,8,"BUF","GB",27,17,2022-10-30 16:20:00
2022103100,2022,8,"CLE","CIN",32,13,2022-10-31 16:15:00
2022110300,2022,9,"HOU","PHI",17,29,2022-11-03 16:15:00
2022110600,2022,9,"ATL","LAC",17,20,2022-11-06 08:00:00
2022110601,2022,9,"CHI","MIA",32,35,2022-11-06 08:00:00
2022110602,2022,9,"CIN","CAR",42,21,2022-11-06 08:00:00
2022110603,2022,9,"DET","GB",15,9,2022-11-06 08:00:00
2022110604,2022,9,"JAX","LV",27,20,2022-11-06 08:00:00
2022110605,2022,9,"NE","IND",26,3,2022-11-06 08:00:00
2022110606,2022,9,"NYJ","BUF",20,17,2022-11-06 08:00:00
2022110607,2022,9,"WAS","MIN",17,20,2022-11-06 08:00:00
2022110608,2022,9,"ARI","SEA",21,31,2022-11-06 11:05:00
2022110609,2022,9,"TB","LA",16,13,2022-11-06 11:25:00
2022110610,2022,9,"KC","TEN",20,17,2022-11-06 15:20:00
2022110700,2022,9,"NO","BAL",13,27,2022-11-07 15:15:00
